#,Title,R.,Conf.,R0. Avg.,R. Avg.,Conf. Avg.,Corr.,Status
40,One-shot Empirical Privacy Estimation for Federated Learning,"8,8,8","4,3,3",5.67,8,3.33,0,Oral
41,ResFields: Residual Neural Fields for Spatiotemporal Signals,"8,8,8","4,4,4",6.67,8,4,0,Spotlight
42,Deep Orthogonal Hypersphere Compression for Anomaly Detection,"8,8,8,8","3,4,5,5",8,8,4.25,0,Spotlight
43,Sample-Efficient Quality-Diversity by Cooperative Coevolution,"8,8,8","5,5,3",4.67,8,4.33,0,Spotlight
44,"TD-MPC2: Scalable, Robust World Models for Continuous Control","8,8,8,8","5,5,3,4",7,8,4.25,0,Spotlight
45,ClimODE: Climate Forecasting With Physics-informed Neural ODEs,"8,8,8,8","4,4,3,3",7,8,3.5,0,Oral
46,GIM: Learning Generalizable Image Matcher From Internet Videos,"6,8,8,10","3,2,3,5",8,8,3.25,0.65,Spotlight
47,SE(3)-Stochastic Flow Matching for Protein Backbone Generation,"8,8,8,8","4,3,4,4",6.75,8,3.75,0,Spotlight
48,EQA-MX: Embodied Question Answering using Multimodal Expression,"8,8,8,8","3,4,4,4",6.25,8,3.75,0,Spotlight
49,Magnushammer: A Transformer-Based Approach to Premise Selection,"8,8,8,8","4,5,3,4",7.5,8,4,0,Poster
50,Online GNN Evaluation Under Test-time Graph Distribution Shifts,"8,8,8,8","4,4,4,4",7.5,8,4,0,Spotlight
51,Algorithms for Caching and MTS with reduced number of predictions,"8,8,8,8","3,4,4,3",8,8,3.5,0,Poster
52,Learning Energy Decompositions for Partial Inference of GFlowNets,"8,8,8,8","5,5,2,3",6.25,8,3.75,0,Oral
53,Noisy Interpolation Learning with Shallow Univariate ReLU Networks,"8,8,8","4,4,4",8,8,4,0,Spotlight
54,A Benchmark on Robust Semi-Supervised Learning in Open Environments,"8,8,8,8","5,5,4,5",8,8,4.75,0,Spotlight
55,Universal Humanoid Motion Representations for Physics-Based Control,"8,8,8","4,2,3",7.33,8,3,0,Spotlight
56,MOFDiff: Coarse-grained Diffusion for Metal-Organic Framework Design,"8,8,8,8","4,3,3,4",6.75,8,3.5,0,Poster
57,GenSim: Generating Robotic Simulation Tasks via Large Language Models,"8,8,8,8","4,3,3,4",7.5,8,3.5,0,Spotlight
58,Interpreting CLIP's Image Representation via Text-Based Decomposition,"8,8,8,8","4,4,2,4",7,8,3.5,0,Oral
59,MovingParts: Motion-based 3D Part Discovery in Dynamic Radiance Field,"8,8,8,8","5,5,4,3",5.5,8,4.25,0,Spotlight
60,"Detecting, Explaining, and Mitigating Memorization in Diffusion Models","8,8,8,8","2,3,4,4",7.5,8,3.25,0,Oral
61,Language Model Beats Diffusion - Tokenizer is key to visual generation,"8,8,8","4,4,3",8,8,3.67,0,Poster
62,Predictive auxiliary objectives in deep RL mimic learning in the brain,"8,8,8","4,4,3",6.33,8,3.67,0,Oral
63,Small-scale proxies for large-scale Transformer training instabilities,"8,8,8,8","4,3,2,3",7.25,8,3,0,Oral
64,Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs,"8,8,8,8,8,8","4,3,3,4,5,4",6.83,8,3.83,0,Oral
65,Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How,"8,8,8,8","4,3,3,4",7.5,8,3.5,0,Oral
66,Thin-Shell Object Manipulations With Differentiable Physics Simulations,"8,8,8,8,8","4,4,3,3,3",7,8,3.4,0,Spotlight
67,Unified Generative Modeling of 3D Molecules with Bayesian Flow Networks,"8,8,8,8","4,2,4,4",6.5,8,3.5,0,Oral
68,CAS: A Probability-Based Approach for Universal Condition Alignment Score,"8,8,8","3,4,4",5.67,8,3.67,0,Spotlight
69,DMV3D: Denoising Multi-view Diffusion Using 3D Large Reconstruction Model,"6,8,8,10","4,4,5,5",6.75,8,4.5,0.71,Spotlight
70,Multi-granularity Correspondence Learning from Noisy Instructional Videos,"8,8,8,8","5,5,4,3",7.5,8,4.25,0,Oral
71,CrIBo: Self-Supervised Learning via Cross-Image Object-Level Bootstrapping,"6,8,8,10","5,5,4,4",7.25,8,4.5,-0.71,Spotlight
72,Distributionally Robust Optimization with Bias & Variance Reduced Gradients,"8,8,8,8","3,4,4,3",7,8,3.5,0,Spotlight
73,Learning Hierarchical Image Segmentation For Recognition and By Recognition,"6,8,8,10","4,4,3,4",7.5,8,3.75,0,Spotlight
74,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,"8,8,8,8","4,3,4,5",8,8,4,0,Spotlight
75,GraphGuard: Provably Robust Graph Classification against Adversarial Attacks,"8,8,8","4,4,3",6.33,8,3.67,0,Oral
76,PTaRL: Prototype-based Tabular Representation Learning via Space Calibration,"8,8,8","3,2,4",6.67,8,3,0,Spotlight
77,SyncDreamer: Generating Multiview-consistent Images from a Single-view Image,"6,8,8,8,10","5,1,5,4,4",7.6,8,3.8,-0.22,Spotlight
78,CABINET: Content Relevance-based Noise Reduction for Table Question Answering,"8,8,8,8","4,4,4,5",6.25,8,4.25,0,Spotlight
79,MetaMath: Bootstrap Your Own Mathematical Questions for Large Language Models,"8,8,8,8","4,4,4,3",7.25,8,3.75,0,Spotlight
80,Approximating Nash Equilibria in Normal-Form Games via Stochastic Optimization,"8,8,8","3,4,3",8,8,3.33,0,Oral
81,Exploring the Common Appearance-Boundary Adaptation for Nighttime Optical Flow,"6,8,10","4,2,3",8,8,3,-0.5,Spotlight
82,Multi-Source Diffusion Models for Simultaneous Music Generation and Separation,"8,8,8,8","3,3,4,3",8,8,3.25,0,Oral
83,Q-TAPE: A Task-Agnostic Pre-Trained Approach for Quantum Properties Estimation,"8,8,8,8","4,4,5,5",5.75,8,4.5,0,Spotlight
84,Step-Back Prompting Enables Reasoning Via Abstraction in Large Language Models,"8,8,8","4,3,3",6.67,8,3.33,0,Poster
85,Large Language Models are Efficient Learners of Noise-Robust Speech Recognition,"6,8,8,10","4,4,3,4",8,8,3.75,0,Spotlight
86,ModernTCN: A Modern Pure Convolution Structure for General Time Series Analysis,"8,8,8","3,4,4",7,8,3.67,0,Spotlight
87,PF-LRM: Pose-Free Large Reconstruction Model for Joint Pose and Shape Prediction,"8,8,8,8","5,4,3,4",5.5,8,4,0,Spotlight
88,From Latent Graph to Latent Topology Inference: Differentiable Cell Complex Module,"8,8,8","4,3,2",6,8,3,0,Poster
89,Inherently Interpretable Time Series Classification via Multiple Instance Learning,"8,8,8,8","4,4,4,3",7.5,8,3.75,0,Spotlight
90,Visual Data-Type Understanding does not emerge from scaling Vision-Language Models,"8,8,8","4,3,4",7,8,3.67,0,Poster
91,Latent Trajectory Learning for Limited Timestamps under Distribution Shift over Time,"8,8,8,8","4,3,1,3",6.75,8,2.75,0,Oral
92,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models,"8,8,8,8","4,4,5,4",6.75,8,4.25,0,Oral
93,Knowledge Card: Filling LLMs' Knowledge Gaps with Plug-in Specialized Language Models,"8,8,8","3,3,2",6.33,8,2.67,0,Oral
94,Stochastic Controlled Averaging for Federated Learning with Communication Compression,"8,8,8","4,3,2",6.67,8,3,0,Spotlight
95,CADS: Unleashing the Diversity of Diffusion Models through Condition-Annealed Sampling,"8,8,8","4,4,4",7.33,8,4,0,Spotlight
96,Privacy-Preserving In-Context Learning with Differentially Private Few-Shot Generation,"8,8,8,8","2,3,3,4",7.25,8,3,0,Poster
97,Candidate Label Set Pruning: A Data-centric Perspective for Deep Partial-label Learning,"8,8,8,8","4,4,4,4",7,8,4,0,Oral
98,Learning to Relax: Setting Solver Parameters Across a Sequence of Linear System Instances,"8,8,8,8","2,3,3,3",7.5,8,2.75,0,Spotlight
99,Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors,"8,8,8,8","4,4,4,3",6.5,8,3.75,0,Oral
100,Latent Representation and Simulation of Markov Processes via Time-Lagged Information Bottleneck,"8,8,8","2,4,2",6.67,8,2.67,0,Poster
102,NaturalSpeech 2: Latent Diffusion Models are Natural and Zero-Shot Speech and Singing Synthesizers,"8,8,8,8","5,4,5,3",7,8,4.25,0,Spotlight
103,Beyond Linear Spherical Interpolation: Noise Correction for Image Interpolation with Diffusion Models,"8,8,8","4,3,3",6.33,8,3.33,0,Spotlight
104,Multi-resolution HuBERT: Multi-resolution Speech Self-Supervised Learning with Masked Unit Prediction,"8,8,8,8","4,3,3,5",7,8,3.75,0,Spotlight
105,How to Capture Higher-order Correlations? Generalizing Matrix Softmax Attention to Kronecker Computation,"8,8,8","3,3,3",7.33,8,3,0,Spotlight
106,Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement,"8,8,8,8","5,5,4,3",7,8,4.25,0,Oral
107,How Over-Parameterization Slows Down Gradient Descent in Matrix Sensing: The Curses of Symmetry and Initialization,"8,8,8,8","4,4,4,4",6.75,8,4,0,Spotlight
108,Amortizing intractable inference in large language models,"5,8,8,10","4,3,4,4",7.25,7.75,3.75,-0.08,Oral
109,Towards a statistical theory of data selection under weak supervision,"5,8,8,10","2,4,2,3",7.25,7.75,2.75,0.46,Oral
110,Implicit bias of SGD in $L_2$-regularized linear DNNs: One-way jumps from high to low rank,"5,8,8,10","4,4,3,3",7.25,7.75,3.5,-0.7,Spotlight
111,"Sudden Drops in the Loss: Syntax Acquisition, Phase Transitions, and Simplicity Bias in MLMs","5,8,8,10","4,4,4,3",7.25,7.75,3.75,-0.73,Spotlight
112,High-dimensional SGD aligns with emerging outlier eigenspaces,"6,6,8,8,8,10","2,3,3,3,3,5",7.5,7.67,3.17,0.86,Spotlight
113,Scaling Laws for Associative Memories,"6,8,8,8,8","3,3,2,4,2",7,7.6,2.8,-0.13,Spotlight
114,When can transformers reason with abstract symbols?,"6,8,8,8,8","1,3,3,4,4",6.6,7.6,3,0.91,Poster
115,Space and time continuous physics simulation from partial observations,"6,8,8,8,8","2,3,3,3,4",7,7.6,3,0.79,Spotlight
116,Is ImageNet worth 1 video? Learning strong image encoders from 1 long unlabelled video,"6,8,8,8,8","4,5,4,4,4",6.4,7.6,4.2,0.25,Oral
117,Single Motion Diffusion,"6,8,8,8","3,4,3,3",6.75,7.5,3.25,0.33,Spotlight
118,Multisize Dataset Condensation,"6,8,8,8","3,5,4,4",7.5,7.5,4,0.82,Oral
119,Learning to Act without Actions,"6,8,8,8","4,4,3,4",6,7.5,3.75,-0.33,Spotlight
120,From Sparse to Soft Mixtures of Experts,"6,8,8,8","3,3,4,4",7.5,7.5,3.5,0.58,Spotlight
121,On Error Propagation of Diffusion Models,"6,8,8,8","4,4,2,2",6.25,7.5,3,-0.58,Poster
122,Learning Interactive Real-World Simulators,"6,8,8,8","4,3,4,5",6.75,7.5,4,0,Oral
123,Lipschitz Singularities in Diffusion Models,"6,8,8,8","4,4,3,3",7.5,7.5,3.5,-0.58,Oral
124,Privacy Amplification for Matrix Mechanisms,"6,8,8,8","2,4,3,4",7,7.5,3.25,0.87,Spotlight
125,Quasi-Monte Carlo for 3D Sliced Wasserstein,"6,8,8,8","3,4,3,4",6.5,7.5,3.5,0.58,Spotlight
126,Idempotence and Perceptual Image Compression,"6,8,8,8","3,4,4,4",6.25,7.5,3.75,1,Spotlight
127,Fast Imitation via Behavior Foundation Models,"6,8,8,8","3,3,4,3",7.33,7.5,3.25,0.33,Spotlight
128,Zero-Shot Robustification of Zero-Shot Models,"6,8,8,8","4,3,5,3",6.5,7.5,3.75,-0.17,Poster
130,Optimal Sample Complexity of Contrastive Learning,"6,8,8,8","3,3,3,2",7.5,7.5,2.75,-0.33,Spotlight
131,Generative Adversarial Inverse Multiagent Learning,"6,6,8,10","2,2,3,3",6.75,7.5,2.5,0.9,Spotlight
132,Influencer Backdoor Attack on Semantic Segmentation,"6,8,8,8","2,4,5,4",6,7.5,3.75,0.93,Spotlight
133,Closing the Curious Case of Neural Text Degeneration,"6,8,8,8","4,4,2,4",7,7.5,3.5,-0.33,Poster
134,The Curse of Diversity in Ensemble-Based Exploration,"6,8,8,8","4,4,5,4",7.25,7.5,4.25,0.33,Poster
135,Graphical Multioutput Gaussian Process with Attention,"6,8,8,8","4,4,4,4",5.5,7.5,4,0,Spotlight
136,Efficiently Computing Similarities to Private Datasets,"6,8,8,8","3,3,3,2",7,7.5,2.75,-0.33,Poster
137,Feasibility-Guided Safe Offline Reinforcement Learning,"6,8,8,8","3,3,3,2",6.25,7.5,2.75,-0.33,Poster
138,"On the Joint Interaction of Models, Data, and Features","6,8,8,8","4,4,4,2",6.75,7.5,3.5,-0.33,Oral
139,CLAP: Collaborative Adaptation for Checkerboard Learning,"6,8,8,8","4,4,5,2",6.75,7.5,3.75,-0.13,Spotlight
140,Efficient ConvBN Blocks for Transfer Learning and Beyond,"6,8,8,8","4,4,4,3",6.5,7.5,3.75,-0.33,Spotlight
141,Efficient Streaming Language Models with Attention Sinks,"6,8,8,8","4,4,4,5",7,7.5,4.25,0.33,Poster
142,Post-hoc bias scoring is optimal for fair classification,"6,8,8,8","4,3,4,4",6.75,7.5,3.75,-0.33,Spotlight
143,Provable Offline Preference-Based Reinforcement Learning,"6,8,8,8","3,2,2,3",6.75,7.5,2.5,-0.58,Spotlight
144,LEGO-Prover: Neural Theorem Proving with Growing Libraries,"6,8,8,8","4,3,4,3",5.5,7.5,3.5,-0.58,Oral
145,Maximum Entropy Heterogeneous-Agent Reinforcement Learning,"6,8,8,8","5,4,3,2",6.75,7.5,3.5,-0.77,Spotlight
146,Safe RLHF: Safe Reinforcement Learning from Human Feedback,"6,8,8,8","5,3,3,4",5.75,7.5,3.75,-0.87,Spotlight
147,The Expressive Power of Transformers with Chain of Thought,"6,8,8,8","4,3,3,3",7.5,7.5,3.25,-1,Poster
148,Proving Test Set Contamination for Black-Box Language Models,"6,8,8,8","3,3,3,3",6.75,7.5,3,0,Oral
149,SWAP-NAS: Sample-Wise Activation Patterns for Ultra-fast NAS,"6,8,8,8","3,2,5,4",6.5,7.5,3.5,0.26,Spotlight
150,METRA: Scalable Unsupervised RL with Metric-Aware Abstraction,"6,8,8,8","3,3,5,4",7,7.5,3.75,0.52,Oral
151,Memorization Capacity of Multi-Head Attention in Transformers,"6,8,8,8","3,3,2,3",6.75,7.5,2.75,-0.33,Spotlight
152,Querying Easily Flip-flopped Samples for Deep Active Learning,"6,6,8,10","3,4,3,4",6.25,7.5,3.5,0.3,Poster
153,A representation-learning game for classes of prediction tasks,"6,8,8,8","2,3,2,4",6.75,7.5,2.75,0.52,Poster
154,RealChat-1M: A Large-Scale Real-World LLM Conversation Dataset,"6,8,8,8","4,4,4,4",7.5,7.5,4,0,Spotlight
155,Fast and unified path gradient estimators for normalizing flows,"6,8,8,8","3,4,3,3",6,7.5,3.25,0.33,Poster
156,Jointly-Learned Exit and Inference for a Dynamic Neural Network,"6,8,8,8","4,4,5,4",5.75,7.5,4.25,0.33,Poster
158,Provable Reward-Agnostic Preference-Based Reinforcement Learning,"6,8,8,8","3,4,2,2",6.75,7.5,2.75,-0.17,Spotlight
159,Adaptive Rational Activations to Boost Deep Reinforcement Learning,"6,8,8,8","3,3,4,4",4.75,7.5,3.5,0.58,Spotlight
160,Neuron-Enhanced AutoEncoder Matrix Completion: Theory and Practice,"6,8,8,8","5,4,5,5",6.75,7.5,4.75,-0.33,Poster
161,Improving Convergence and Generalization Using Parameter Symmetries,"6,8,8,8","3,3,3,2",7.25,7.5,2.75,-0.33,Oral
162,Physics-Regulated Deep Reinforcement Learning: Invariant Embeddings,"6,8,8,8","3,2,3,2",5.75,7.5,2.5,-0.58,Spotlight
163,COLLIE: Systematic Construction of Constrained Text Generation Tasks,"6,6,8,10","4,3,3,4",7.25,7.5,3.5,0.3,Poster
164,Image2Sentence based Asymmetrical Zero-shot Composed Image Retrieval,"6,8,8,8","4,5,5,2",5.25,7.5,4,0,Spotlight
165,In-Context Pretraining: Language Modeling Beyond Document Boundaries,"6,8,8,8","4,3,4,3",7,7.5,3.5,-0.58,Spotlight
166,Learning to Act from Actionless Videos through Dense Correspondences,"6,6,8,10","4,4,4,3",5.75,7.5,3.75,-0.87,Spotlight
167,The Consensus Game: Language Model Generation via Equilibrium Search,"6,6,8,10","3,2,4,4",7,7.5,3.25,0.82,Spotlight
168,AMAGO: Scalable In-Context Reinforcement Learning for Adaptive Agents,"6,8,8,8","4,4,3,3",6.5,7.5,3.5,-0.58,Spotlight
169,From Graphs to Hypergraphs: Hypergraph Projection and its Remediation,"6,8,8,8","4,5,3,5",6.75,7.5,4.25,0.17,Poster
170,Lion Secretly Solves a Constrained Optimization: As Lyapunov Predicts,"6,8,8,8","3,3,3,2",7.25,7.5,2.75,-0.33,Spotlight
171,PINNACLE: PINN Adaptive ColLocation and Experimental points selection,"6,8,8,8","3,4,4,3",6.75,7.5,3.5,0.58,Spotlight
172,MOTOR: A Time-To-Event Foundation Model For Structured Medical Records,"6,8,8,8","3,4,3,4",7.5,7.5,3.5,0.58,Spotlight
174,Towards Optimal Regret in Adversarial Linear MDPs with Bandit Feedback,"6,8,8,8","4,3,3,3",7,7.5,3.25,-1,Spotlight
175,Zipformer: A faster and better encoder for automatic speech recognition,"6,8,8,8","5,4,5,4",7.5,7.5,4.5,-0.58,Oral
176,Evaluating the Zero-shot Robustness of Instruction-tuned Language Models,"6,8,8,8","4,4,4,4",6.75,7.5,4,0,Spotlight
177,Less is More: Fewer Interpretable Region via Submodular Subset Selection,"6,8,8,8","2,4,4,5",6,7.5,3.75,0.93,Oral
178,Massively Scalable Inverse Reinforcement Learning for Route Optimization,"6,6,8,10","3,4,3,4",6.5,7.5,3.5,0.3,Spotlight
179,Towards Non-Asymptotic Convergence for Diffusion-Based Generative Models,"6,8,8,8","3,2,4,5",7,7.5,3.5,0.26,Poster
180,Entity-Centric Reinforcement Learning for Object Manipulation from Pixels,"6,8,8,8","4,4,4,3",6,7.5,3.75,-0.33,Spotlight
181,Estimating Shape Distances on Neural Representations with Limited Samples,"6,6,8,10","2,3,4,4",6.75,7.5,3.25,0.82,Poster
182,Facing the Elephant in the Room: Visual Prompt Tuning or Full finetuning?,"6,8,8,8","4,4,3,4",5.75,7.5,3.75,-0.33,Poster
183,NuwaDynamics: Discovering and Updating in Causal Spatio-Temporal Modeling,"6,6,8,10","3,5,5,4",6.5,7.5,4.25,0.09,Spotlight
184,On Double-Descent in Reinforcement Learning with LSTD and Random Features,"6,6,8,10","3,3,3,4",7,7.5,3.25,0.87,Poster
185,A Simple Romance Between Multi-Exit Vision Transformer and Token Reduction,"6,8,8,8","2,4,4,5",7,7.5,3.75,0.93,Poster
186,Generalized Policy Iteration using Tensor Approximation for Hybrid Control,"6,8,8,8","3,4,5,2",6.75,7.5,3.5,0.26,Spotlight
187,Negative Label Guided OOD Detection with Pretrained Vision-Language Models,"6,8,8,8","4,4,4,5",6.5,7.5,4.25,0.33,Spotlight
188,SRL: Scaling Distributed Reinforcement Learning to Over Ten Thousand Cores,"6,8,8,8","4,4,3,3",6.75,7.5,3.5,-0.58,Poster
189,Understanding prompt engineering may not require rethinking generalization,"6,8,8,8","4,4,2,3",6,7.5,3.25,-0.52,Poster
190,Sparse MoE with Language Guided Routing for Multilingual Machine Translation,"6,8,8,8","4,4,5,5",6.5,7.5,4.5,0.58,Poster
191,DP-OPT: Make Large Language Model Your Differentially-Private Prompt Engineer,"6,8,8,8","3,3,4,4",5.5,7.5,3.5,0.58,Spotlight
192,Dual RL: Unification and New Methods for Reinforcement and Imitation Learning,"6,6,8,10","4,4,4,4",6.67,7.5,4,0,Spotlight
193,HyperHuman: Hyper-Realistic Human Generation with Latent Structural Diffusion,"6,6,8,10","3,4,4,3",6.75,7.5,3.5,-0.3,Poster
194,Policy Rehearsing: Training Generalizable Policies for Reinforcement Learning,"6,8,8,8","4,3,3,3",6.25,7.5,3.25,-1,Poster
196,iTransformer: Inverted Transformers Are Effective for Time Series Forecasting,"6,8,8,8","4,4,4,3",7,7.5,3.75,-0.33,Spotlight
197,Consistent algorithms for multi-label classification with macro-at-$k$ metrics,"6,8,8,8","3,4,3,3",6.5,7.5,3.25,0.33,Poster
198,Reasoning on Graphs: Faithful and Interpretable Large Language Model Reasoning,"6,8,8,8","3,4,4,2",6.75,7.5,3.25,0.17,Poster
200,Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding,"6,8,8,8","4,3,3,4",6,7.5,3.5,-0.58,Poster
201,Sample-Efficient Linear Representation Learning from Non-IID Non-Isotropic Data,"6,8,8,8","3,3,4,3",6.25,7.5,3.25,0.33,Spotlight
202,Solving Inverse Problems with Latent Diffusion Models via Hard Data Consistency,"6,8,8,8","3,3,4,4",6.5,7.5,3.5,0.58,Spotlight
203,Deep Reinforcement Learning Guided Improvement Heuristic for Job Shop Scheduling,"6,8,8,8","3,3,3,4",7.5,7.5,3.25,0.33,Poster
204,A Versatile Causal Discovery Framework to Allow Causally-Related Hidden Variables,"6,8,8,8","4,3,4,4",7.5,7.5,3.75,-0.33,Poster
205,"Asymptotically Free Sketched Ridge Ensembles: Risks, Cross-Validation, and Tuning","6,8,8,8","4,3,4,3",7.5,7.5,3.5,-0.58,Spotlight
206,Exploiting Causal Graph Priors with Posterior Sampling for Reinforcement Learning,"6,8,8,8","2,3,3,4",7,7.5,3,0.82,Poster
207,Faster Approximation of Probabilistic and Distributional Values via Least Squares,"6,8,8,8","3,3,2,3",6.25,7.5,2.75,-0.33,Poster
208,How I Warped Your Noise: a Temporally-Correlated Noise Prior for Diffusion Models,"6,8,8,8","4,5,2,4",7.5,7.5,3.75,-0.13,Oral
209,SNIP: Bridging Mathematical Symbolic and Numeric Realms with Unified Pre-training,"6,8,8,8","5,5,4,4",7,7.5,4.5,-0.58,Spotlight
210,A Poincaré Inequality and Consistency Results for Signal Sampling on Large Graphs,"6,8,8,8","3,4,2,4",7,7.5,3.25,0.17,Spotlight
211,Depthwise Hyperparameter Transfer in Residual Networks: Dynamics and Scaling Limit,"6,8,8,8","4,4,4,3",7.5,7.5,3.75,-0.33,Poster
212,MERT: Acoustic Music Understanding Model with Large-Scale Self-supervised Training,"6,8,8,8","4,3,3,4",6.5,7.5,3.5,-0.58,Poster
213,Mitigating Hallucination in Large Multi-Modal Models via Robust Instruction Tuning,"6,8,8,8","4,3,4,3",6.5,7.5,3.5,-0.58,Poster
214,MMD Graph Kernel: Effective Metric Learning for Graphs via Maximum Mean Discrepancy,"6,8,8,8","3,5,5,4",6.25,7.5,4.25,0.87,Spotlight
215,Unleashing the Potential of Fractional Calculus in Graph Neural Networks with FROND,"6,8,8,8","4,3,3,4",5.75,7.5,3.5,-0.58,Spotlight
216,Sophia: A Scalable Stochastic Second-order Optimizer for Language Model Pre-training,"6,8,8,8","4,4,3,3",7.5,7.5,3.5,-0.58,Poster
217,$\mathcal{B}$-Coder: On Value-Based Deep Reinforcement Learning for Program Synthesis,"6,8,8,8","4,4,2,3",6.75,7.5,3.25,-0.52,Spotlight
218,InstructScene: Instruction-Driven 3D Indoor Scene Synthesis with Semantic Graph Prior,"6,8,8,8","2,4,4,5",6.75,7.5,3.75,0.93,Spotlight
219,ToolChain*: Efficient Action Space Navigation in Large Language Models with A* Search,"6,8,8,8","4,5,3,3",6.75,7.5,3.75,-0.17,Poster
220,Selective Visual Representations Improve Convergence and Generalization for Embodied AI,"6,8,8,8","4,3,3,4",6.5,7.5,3.5,-0.58,Spotlight
221,Towards Reliable and Efficient Backdoor Trigger Inversion via Decoupling Benign Features,"6,8,8,8","4,5,4,4",5.75,7.5,4.25,0.33,Spotlight
